component,state,installation,n_fire_sites,lon,lat,matched_name,coord_source,match_score
Army,Iowa,IOWA ARMY AMMUNITION PLANT,1,-91.265875,40.825,IOWA ARMY AMMUNITION PLANT,EWG_2019,100.0
Army,Kansas,FORT RILEY,3,-96.81038,39.10917,FORT RILEY,EWG_2019,100.0
Army,Kentucky,FORT CAMPBELL,4,-87.496207,36.673319,FORT CAMPBELL,EWG_2019,100.0
Army,Kentucky,FORT KNOX,1,-85.964834,37.908363,FORT KNOX,EWG_2019,100.0
Army,Louisiana,FORT POLK,2,-93.192414,31.045875,FORT POLK,EWG_2019,100.0
Army,Maryland,FORT GEORGE G MEADE,1,-76.72918,39.09789,FORT GEORGE G MEADE,EWG_2019,100.0
Army,Massachusetts,DEVENS RESERVE TRAINING FACILITY,1,-71.620163,42.537029,DEVENS RESERVE TRAINING FACILITY,EWG_2019,100.0
Army,Massachusetts,SUDBURY TRAINING ANNEX,1,-71.472047,42.408794,SUDBURY TRAINING ANNEX,EWG_2019,100.0
Army,Michigan,CAMP GRAYLING ARMY AIRFIELD,1,-84.77257,44.6345,CAMP GRAYLING ARMY AIRFIELD,EWG_2019,100.0
Army,Missouri,FORT LEONARD WOOD,5,-92.15441,37.72287,FORT LEONARD WOOD,EWG_2019,100.0
Army,Montana,FORT WILLIAM HENRY HARRISON,1,-112.108661,46.625454,FORT WILLIAM HENRY HARRISON,EWG_2019,100.0
Army,Nevada,HAWTHORNE ARMY DEPOT,1,-118.659211,38.578515,HAWTHORNE ARMY DEPOT,EWG_2019,100.0
Army,New Mexico,FORT WINGATE DEPOT ACTIVITY,1,-108.542064,35.472067,FORT WINGATE DEPOT ACTIVITY,EWG_2019,100.0
Army,New Mexico,WHITE SANDS MISSILE RANGE,3,-106.4191,32.94195,WHITE SANDS MISSILE RANGE,EWG_2019,100.0
Army,New York,FORT DRUM,1,-75.79566,44.05064,FORT DRUM,EWG_2019,100.0
Army,New York,SENECA ARMY DEPOT ACTIVITY,2,-76.86057,42.73503,SENECA ARMY DEPOT ACTIVITY,EWG_2019,100.0
Army,North Carolina,FORT BRAGG,1,-78.99782,35.14238,FORT BRAGG,EWG_2019,100.0
Army,North Carolina,MILITARY OCEAN TERMINAL SUNNY POINT,1,-77.975979,34.007135,MILITARY OCEAN TERMINAL SUNNY POINT,EWG_2019,100.0
Army,Oklahoma,FORT SILL,1,-98.416931,34.578394,FORT SILL,EWG_2019,100.0
Army,Oregon,UMATILLA CHEMICAL DEPOT,1,-119.447335,45.838032,UMATILLA CHEMICAL DEPOT,EWG_2019,100.0
Army,Pennsylvania,FORT INDIANTOWN GAP,1,-76.568158,40.438078,FORT INDIANTOWN GAP,EWG_2019,100.0
Army,Pennsylvania,LETTERKENNY ARMY DEPOT,2,-77.63164,40.0004,LETTERKENNY ARMY DEPOT,EWG_2019,100.0
Army,Pennsylvania,NORTH PENN USARC,1,-75.3399,40.1215,NORTH PENN US ARMY RESERVE COMMAND,EWG_2019,100.0
Army,Pennsylvania,TOBYHANNA ARMY DEPOT,1,-75.424806,41.194249,TOBYHANNA ARMY DEPOT,EWG_2019,100.0
Army,Texas,FORT BLISS,3,-106.412579,31.799151,FORT BLISS,EWG_2019,100.0
Army,Texas,FORT HOOD,2,-97.720394,31.14149,FORT HOOD,EWG_2019,100.0
Army,Utah,DUGWAY PROVING GROUND,2,-112.745941,40.218714,DUGWAY PROVING GROUND,EWG_2019,100.0
Army,Utah,GREEN RIVER TEST SITE,1,-110.0753,38.9413,GREEN RIVER TEST SITE,EWG_2019,100.0
Army,Virginia,FORT BELVOIR,2,-77.145885,38.701528,FORT BELVOIR,EWG_2019,100.0
Army,Virginia,FORT LEE,2,-77.338907,37.264822,FORT LEE,EWG_2019,100.0
Army,Virginia,FORT MONROE,1,-76.306835,37.008432,FORT MONROE,EWG_2019,100.0
Army,Virginia,FORT PICKETT,1,-77.959696,37.073398,FORT PICKETT,EWG_2019,100.0
