OBJECTID,SE_ANNO_CAD_DATA,Country,Feature Description,Feature Name,Controlled Unclassified Information Indicator,Is FIRRMA Site,Is Joint Base,Media Identifier,Primary Key Identifier,Globally Unique Identifier,Site Name,Site Operational Status,Site Reporting Component Code,State Name Code,x,y
210,System.Byte[],usa,na,NG Williamstown,no,no,no,na, ,,NG Williamstown,act,armyNationalGuard,WV,-81.4421100449999,39.353125968
211,System.Byte[],usa,na,Parks Reserve Forces Tng Area,no,no,no,na, ,,Parks Reserve Forces Tng Area,act,usar,CA,-121.896331401,37.7311440030001
212,System.Byte[],usa,na,NG Picacho Aviation TS,no,no,no,na, ,,NG Picacho Aviation TS,act,armyNationalGuard,AZ,-111.488032801,32.662916619
213,System.Byte[],usa,na,Picatinny Arsenal,no,yes,no,na, ,,Picatinny Arsenal,act,usa,NJ,-74.544607109,40.954336659
214,System.Byte[],usa,na,Pine Bluff Arsenal,no,yes,no,na, ,,Pine Bluff Arsenal,act,usa,AR,-92.088861149,34.3332036850001
215,System.Byte[],usa,na,Pohakuloa Training Area,no,yes,no,na, ,,Pohakuloa Training Area,act,usa,HI,-155.627038273,19.714969157
216,System.Byte[],usa,na,NG Thunderbird Youth Academy,no,no,no,na, ,,NG Thunderbird Youth Academy,act,armyNationalGuard,OK,-95.292127167,36.2956941300001
217,System.Byte[],usa,na,Pueblo Chemical Depot,no,yes,no,na, ,,Pueblo Chemical Depot,act,usa,CO,-104.332420218,38.3171627130001
218,System.Byte[],usa,na,NG RW Shepherd Hope Hull,no,no,no,na, ,,NG RW Shepherd Hope Hull,act,armyNationalGuard,AL,-86.3951588039999,32.2871056020001
219,System.Byte[],usa,na,Radford Army Ammunition Plant,no,yes,no,na, ,,Radford Army Ammunition Plant,act,usa,VA,-80.539144974,37.181516317
220,System.Byte[],usa,na,NG Raleigh,no,no,no,na, ,,NG Raleigh,act,armyNationalGuard,NC,-78.711908589,35.8097554600001
221,System.Byte[],usa,na,NG Camp Ravenna Joint Military Training Center,no,no,no,na, ,,NG Camp Ravenna Joint Military Training Center,act,armyNationalGuard,OH,-81.0848094529999,41.1971769900001
222,System.Byte[],usa,na,Red River Army Depot,no,yes,no,na, ,,Red River Army Depot,act,usa,TX,-94.355671926,33.4337462620001
223,System.Byte[],usa,na,Redstone Arsenal,no,yes,no,na, ,,Redstone Arsenal,act,usa,AL,-86.657213231,34.6327674880001
224,System.Byte[],usa,na,Fort Detrick Forest Glen Annex,no,no,no,na, ,,Fort Detrick Forest Glen Annex,act,usa,MD,-77.055030183,39.0060471570001
225,System.Byte[],usa,na,Fort Detrick Glen Haven Annex,no,no,no,na, ,,Fort Detrick Glen Haven Annex,act,usa,MD,-77.041262591,39.033556764
226,System.Byte[],usa,na,NG Rickenbacker,no,no,no,na, ,,NG Rickenbacker,act,armyNationalGuard,OH,-82.951461791,39.805031295
227,System.Byte[],usa,na,NG Rio Rancho TS,no,no,no,na, ,,NG Rio Rancho TS,act,armyNationalGuard,NM,-106.65202636,35.3734789530001
228,System.Byte[],usa,na,Rivanna Station,no,no,no,na, ,,Rivanna Station,act,usa,VA,-78.4136813969999,38.1554879120001
229,System.Byte[],usa,na,NG Rochester NGA and OMS 2,no,no,no,na, ,,NG Rochester NGA and OMS 2,act,armyNationalGuard,MN,-92.431667566,43.996953375
230,System.Byte[],usa,na,Rock Island Arsenal,no,yes,no,na, ,,Rock Island Arsenal,act,usa,IL,-90.553916814,41.5170864040001
231,System.Byte[],usa,na,Rocky Mountain Arsenal,no,no,no,na, ,,Rocky Mountain Arsenal,clsd,usa,CO,-104.83986922,39.8421307770001
232,System.Byte[],usa,na,NG Rosemount NG Armory,no,no,no,na, ,,NG Rosemount NG Armory,act,armyNationalGuard,MN,-93.127605435,44.7477484940001
233,System.Byte[],usa,na,Runkle Stagefield AL,no,no,no,na, ,,Runkle Stagefield AL,act,usa,AL,-86.091887862,31.3403855190001
234,System.Byte[],usa,na,NG Saginaw,no,no,no,na, ,,NG Saginaw,act,armyNationalGuard,TX,-97.3503690049999,32.8550797770001
235,System.Byte[],usa,na,NG Saint George/FMS 5B,no,no,no,na, ,,NG Saint George/FMS 5B,act,armyNationalGuard,UT,-113.547140898,37.033768266
236,System.Byte[],usa,na,NG Salina KS Training Center,no,no,no,na, ,,NG Salina KS Training Center,act,armyNationalGuard,KS,-97.63800413,38.7846762930001
237,System.Byte[],usa,na,Savanna Depot Act,no,no,no,na, ,,Savanna Depot Act,clsd,usa,IL,-90.333725595,42.2171259150001
238,System.Byte[],usa,na,Tropic Regions Test Center,no,yes,no,na, ,,Tropic Regions Test Center,act,usa,HI,-158.095514356,21.494567551
239,System.Byte[],usa,na,Scranton Army Ammunition Plant,no,yes,no,na, ,,Scranton Army Ammunition Plant,act,usa,PA,-75.665908803,41.404179453
240,System.Byte[],usa,na,NG Sea Girt  NJ NGTC,no,no,no,na, ,,NG Sea Girt  NJ NGTC,act,armyNationalGuard,NJ,-74.037289965,40.12380504
241,System.Byte[],usa,na,Seward Recreation Area,no,no,no,na, ,,Seward Recreation Area,act,usa,AK,-149.433125482,60.1333143850001
