"compound","exposure","spec","margin","bucket","estimate","std.error","p.value","nobs","n_systems","detect_rate","sig"
"PFPeA","idw__mil_airport__25km","cov","tobit","A_anydetect",0.076678180348433,0.0108492395234037,1.57626193290736e-12,6314,3500,0.541019955654102,"***"
"PFBA","idw__mil_airport__25km","raw","detect","A_anydetect",0.0349878059910959,0.00616310491591486,1.37095750034797e-08,6314,3500,0.432689261957555,"***"
"PFBA","idw__mil_airport__25km","raw","tobit","A_anydetect",0.0847870861443849,0.0168596709178659,4.93074723759389e-07,6314,3500,0.432689261957555,"***"
"PFBA","idw__mil_airport__25km","cov","detect","A_anydetect",0.0356118957862862,0.00570633969026066,4.35450277958367e-10,6314,3500,0.432689261957555,"***"
"PFBA","idw__mil_airport__25km","cov","tobit","A_anydetect",0.0793681810302078,0.011918724148514,2.75477195450355e-11,6314,3500,0.432689261957555,"***"
"PFHpA","idw__mil_airport__25km","raw","detect","A_anydetect",0.0119217572708653,0.00453627692308541,0.00858650572099834,6314,3500,0.13588850174216,"***"
"PFHpA","idw__mil_airport__25km","raw","tobit","A_anydetect",0.0335832769601978,0.0151561507865234,0.0267039455185091,6314,3500,0.13588850174216,"**"
"PFHpA","idw__mil_airport__25km","cov","detect","A_anydetect",0.009005607040197,0.00479330571870876,0.0602733956162718,6314,3500,0.13588850174216,"*"
"PFHpA","idw__mil_airport__25km","cov","tobit","A_anydetect",0.0182266446883417,0.0161866070371935,0.26015178662682,6314,3500,0.13588850174216,""
"PFOS","idw__mil_milfire__5km","raw","detect","A_anydetect",0.124350348347431,0.0575916044834133,0.0308365985524733,6314,3500,0.360785555907507,"**"
"PFOS","idw__mil_milfire__5km","raw","tobit","A_anydetect",0.34104636320867,0.135139837927918,0.0116141760552809,6314,3500,0.360785555907507,"**"
"PFOS","idw__mil_milfire__5km","cov","detect","A_anydetect",0.140669519013469,0.063417854385507,0.026545460737371,6314,3500,0.360785555907507,"**"
"PFOS","idw__mil_milfire__5km","cov","tobit","A_anydetect",0.380845205919845,0.144716378363002,0.00849672898791892,6314,3500,0.360785555907507,"***"
"PFOA","idw__mil_milfire__5km","raw","detect","A_anydetect",0.100043377967512,0.0624880253417164,0.109376744064947,6314,3500,0.354450427621159,""
"PFOA","idw__mil_milfire__5km","raw","tobit","A_anydetect",0.206071275972429,0.126201740260053,0.102495940237679,6314,3500,0.354450427621159,""
"PFOA","idw__mil_milfire__5km","cov","detect","A_anydetect",0.0808564623170667,0.0648521399901024,0.212477546805255,6314,3500,0.354450427621159,""
"PFOA","idw__mil_milfire__5km","cov","tobit","A_anydetect",0.166492797822495,0.135596135963916,0.219500285243348,6314,3500,0.354450427621159,""
"PFHxS","idw__mil_milfire__5km","raw","detect","A_anydetect",0.281670204382993,0.0618732090671759,5.30430489300585e-06,6314,3500,0.276369971491923,"***"
"PFHxS","idw__mil_milfire__5km","raw","tobit","A_anydetect",0.760045015007275,0.1394529261467,5.03158911699018e-08,6314,3500,0.276369971491923,"***"
"PFHxS","idw__mil_milfire__5km","cov","detect","A_anydetect",0.204148089034823,0.0615042635234265,0.000902592559368129,6314,3500,0.276369971491923,"***"
"PFHxS","idw__mil_milfire__5km","cov","tobit","A_anydetect",0.519067160518749,0.138035341052152,0.000169646478827522,6314,3500,0.276369971491923,"***"
"PFBS","idw__mil_milfire__5km","raw","detect","A_anydetect",-0.111226905985861,0.0579387961450499,0.0548918800364504,6314,3500,0.452011403230915,"*"
"PFBS","idw__mil_milfire__5km","raw","tobit","A_anydetect",-0.244688691110088,0.111152540380807,0.0277093170820076,6314,3500,0.452011403230915,"**"
"PFBS","idw__mil_milfire__5km","cov","detect","A_anydetect",-0.0766947507202432,0.0616852854039506,0.213748732790378,6314,3500,0.452011403230915,""
"PFBS","idw__mil_milfire__5km","cov","tobit","A_anydetect",-0.185849004572745,0.113151291900707,0.100490072324651,6314,3500,0.452011403230915,""
"PFHxA","idw__mil_milfire__5km","raw","detect","A_anydetect",0.176083758571847,0.055498289223522,0.00150987858878386,6314,3500,0.465473550839405,"***"
"PFHxA","idw__mil_milfire__5km","raw","tobit","A_anydetect",0.32546035297511,0.0982158081932962,0.000920614202534074,6314,3500,0.465473550839405,"***"
"PFHxA","idw__mil_milfire__5km","cov","detect","A_anydetect",0.153522532031204,0.0618799277607292,0.0131023691367519,6314,3500,0.465473550839405,"**"
"PFHxA","idw__mil_milfire__5km","cov","tobit","A_anydetect",0.198747310702063,0.107612937141115,0.0647657068037298,6314,3500,0.465473550839405,"*"
"PFPeA","idw__mil_milfire__5km","raw","detect","A_anydetect",0.208717025338864,0.0495393102454676,2.5182288122562e-05,6314,3500,0.541019955654102,"***"
"PFPeA","idw__mil_milfire__5km","raw","tobit","A_anydetect",0.350375320804528,0.106704141560827,0.00102484818717182,6314,3500,0.541019955654102,"***"
"PFPeA","idw__mil_milfire__5km","cov","detect","A_anydetect",0.164302979450436,0.0529215990861748,0.00190505072827412,6314,3500,0.541019955654102,"***"
"PFPeA","idw__mil_milfire__5km","cov","tobit","A_anydetect",0.127804027414315,0.103443275472286,0.216644977802218,6314,3500,0.541019955654102,""
"PFBA","idw__mil_milfire__5km","raw","detect","A_anydetect",-0.188945093913065,0.0710354752664736,0.00781709336482446,6314,3500,0.432689261957555,"***"
"PFBA","idw__mil_milfire__5km","raw","tobit","A_anydetect",-0.398542503443793,0.146072583959901,0.00636449388471961,6314,3500,0.432689261957555,"***"
"PFBA","idw__mil_milfire__5km","cov","detect","A_anydetect",-0.148957075838669,0.0577495234042801,0.00989822560235265,6314,3500,0.432689261957555,"***"
"PFBA","idw__mil_milfire__5km","cov","tobit","A_anydetect",-0.394388870532629,0.121413195637565,0.00116088771094468,6314,3500,0.432689261957555,"***"
"PFHpA","idw__mil_milfire__5km","raw","detect","A_anydetect",0.132417917825765,0.050321138045012,0.00850195910402389,6314,3500,0.13588850174216,"***"
"PFHpA","idw__mil_milfire__5km","raw","tobit","A_anydetect",0.416995913671174,0.146150121591369,0.00432810120074083,6314,3500,0.13588850174216,"***"
"PFHpA","idw__mil_milfire__5km","cov","detect","A_anydetect",0.0816792020788831,0.0518085816206646,0.114897404326701,6314,3500,0.13588850174216,""
"PFHpA","idw__mil_milfire__5km","cov","tobit","A_anydetect",0.252311155386383,0.162639167577228,0.120816530545672,6314,3500,0.13588850174216,""
"PFOS","idw__mil_milfire__10km","raw","detect","A_anydetect",0.146356828538682,0.0334473823957611,1.21024858843709e-05,6314,3500,0.360785555907507,"***"
"PFOS","idw__mil_milfire__10km","raw","tobit","A_anydetect",0.367943870754044,0.0751408549364228,9.74485899834073e-07,6314,3500,0.360785555907507,"***"
"PFOS","idw__mil_milfire__10km","cov","detect","A_anydetect",0.164974966125569,0.0368101623262033,7.40238150952136e-06,6314,3500,0.360785555907507,"***"
"PFOS","idw__mil_milfire__10km","cov","tobit","A_anydetect",0.420333665562065,0.0810397111129814,2.13982312997343e-07,6314,3500,0.360785555907507,"***"
"PFOA","idw__mil_milfire__10km","raw","detect","A_anydetect",0.134370272802966,0.0366360460802222,0.0002447356579358,6314,3500,0.354450427621159,"***"
"PFOA","idw__mil_milfire__10km","raw","tobit","A_anydetect",0.270120304863256,0.075104540880531,0.000322415004714931,6314,3500,0.354450427621159,"***"
"PFOA","idw__mil_milfire__10km","cov","detect","A_anydetect",0.106045698063443,0.0399515721346426,0.00794599294539209,6314,3500,0.354450427621159,"***"
"PFOA","idw__mil_milfire__10km","cov","tobit","A_anydetect",0.228308446763449,0.0883350027910622,0.00974990746431617,6314,3500,0.354450427621159,"***"
"PFHxS","idw__mil_milfire__10km","raw","detect","A_anydetect",0.17564294625899,0.032942032241909,9.72014354791871e-08,6314,3500,0.276369971491923,"***"
"PFHxS","idw__mil_milfire__10km","raw","tobit","A_anydetect",0.45233464333498,0.0782899590422329,7.57358804322853e-09,6314,3500,0.276369971491923,"***"
"PFHxS","idw__mil_milfire__10km","cov","detect","A_anydetect",0.141493924063639,0.0332944683390696,2.13987507477275e-05,6314,3500,0.276369971491923,"***"
"PFHxS","idw__mil_milfire__10km","cov","tobit","A_anydetect",0.336279607697701,0.0776200394296715,1.47505189413002e-05,6314,3500,0.276369971491923,"***"
"PFBS","idw__mil_milfire__10km","raw","detect","A_anydetect",-0.0543412899915658,0.0349230838031797,0.119701476911104,6314,3500,0.452011403230915,""
"PFBS","idw__mil_milfire__10km","raw","tobit","A_anydetect",-0.129471289273404,0.0691032902005888,0.0609868460488764,6314,3500,0.452011403230915,"*"
"PFBS","idw__mil_milfire__10km","cov","detect","A_anydetect",-0.0338652379631628,0.0383451007639576,0.377144493787946,6314,3500,0.452011403230915,""
"PFBS","idw__mil_milfire__10km","cov","tobit","A_anydetect",-0.103985171850542,0.0733369685650322,0.156217238537695,6314,3500,0.452011403230915,""
"PFHxA","idw__mil_milfire__10km","raw","detect","A_anydetect",0.132512019687467,0.0319001360216821,3.2676446961748e-05,6314,3500,0.465473550839405,"***"
"PFHxA","idw__mil_milfire__10km","raw","tobit","A_anydetect",0.226993526975753,0.0571154043261275,7.05877123436777e-05,6314,3500,0.465473550839405,"***"
"PFHxA","idw__mil_milfire__10km","cov","detect","A_anydetect",0.112078910379881,0.0358644023614089,0.00177760351839403,6314,3500,0.465473550839405,"***"
"PFHxA","idw__mil_milfire__10km","cov","tobit","A_anydetect",0.139373560376503,0.0655104800048319,0.0333785433658249,6314,3500,0.465473550839405,"**"
"PFPeA","idw__mil_milfire__10km","raw","detect","A_anydetect",0.152860177498685,0.0285890496390934,8.95185734774134e-08,6314,3500,0.541019955654102,"***"
"PFPeA","idw__mil_milfire__10km","raw","tobit","A_anydetect",0.233499838770129,0.0603185138391499,0.000108339141474738,6314,3500,0.541019955654102,"***"
"PFPeA","idw__mil_milfire__10km","cov","detect","A_anydetect",0.118852655481598,0.0318819192503132,0.000193080787395087,6314,3500,0.541019955654102,"***"
"PFPeA","idw__mil_milfire__10km","cov","tobit","A_anydetect",0.0857047845298148,0.0636666896975307,0.178254803728024,6314,3500,0.541019955654102,""
"PFBA","idw__mil_milfire__10km","raw","detect","A_anydetect",-0.158392569258598,0.037962338338761,3.01459880225981e-05,6314,3500,0.432689261957555,"***"
"PFBA","idw__mil_milfire__10km","raw","tobit","A_anydetect",-0.352146815420165,0.0852205568356718,3.59336364578348e-05,6314,3500,0.432689261957555,"***"
"PFBA","idw__mil_milfire__10km","cov","detect","A_anydetect",-0.132598013756058,0.0324824703301449,4.4622769356411e-05,6314,3500,0.432689261957555,"***"
"PFBA","idw__mil_milfire__10km","cov","tobit","A_anydetect",-0.356093144436608,0.0700145497925562,3.65717607361445e-07,6314,3500,0.432689261957555,"***"
"PFHpA","idw__mil_milfire__10km","raw","detect","A_anydetect",0.0971852939756046,0.0314636369443637,0.00200957817307018,6314,3500,0.13588850174216,"***"
"PFHpA","idw__mil_milfire__10km","raw","tobit","A_anydetect",0.291694998702719,0.087924037664301,0.000908010200957355,6314,3500,0.13588850174216,"***"
"PFHpA","idw__mil_milfire__10km","cov","detect","A_anydetect",0.0701898973507362,0.0360630454518638,0.0516174087107438,6314,3500,0.13588850174216,"*"
"PFHpA","idw__mil_milfire__10km","cov","tobit","A_anydetect",0.208522075913582,0.106192628075559,0.0495740587066316,6314,3500,0.13588850174216,"**"
