"compound","exposure","spec","margin","estimate","std.error","p.value","nobs","detect_rate","mrl_ug_l","expect","radius_km","sig","supports","contradicts"
"PFBS","idw__pre2002__10km","raw","detect",-0.0334826301866831,0.00444707453997661,7.6365832350284e-14,2032,0.450787401574803,0.003,"pos",10,"***",FALSE,TRUE
"PFBS","idw__pre2002__10km","raw","intensive",-0.0365761196836772,0.0104489375078598,0.000486898492117784,916,0.450787401574803,0.003,"pos",10,"***",FALSE,TRUE
"PFBS","idw__pre2002__10km","raw","tobit",-0.0959591003381238,0.0117475018958294,3.12328668466793e-16,2032,0.450787401574803,0.003,"pos",10,"***",FALSE,TRUE
"PFBS","idw__pre2002__25km","cov","detect",-0.0148529360867149,0.00507484642464387,0.00346756103575713,1894,0.444033790918691,0.003,"pos",25,"***",FALSE,TRUE
"PFBS","idw__pre2002__25km","cov","intensive",-0.0140204565273985,0.0117473070212766,0.233042080772369,841,0.444033790918691,0.003,"pos",25,"",FALSE,FALSE
"PFBS","idw__pre2002__25km","cov","tobit",-0.0479664637350548,0.0126494757842705,0.00014945549472914,1894,0.444033790918691,0.003,"pos",25,"***",FALSE,TRUE
"PFBS","idw__pre2002__25km","raw","detect",-0.026805463767529,0.00410794078212082,8.54677483738541e-11,2032,0.450787401574803,0.003,"pos",25,"***",FALSE,TRUE
"PFBS","idw__pre2002__25km","raw","intensive",-0.0322054155913146,0.00900552242292351,0.000366926266750674,916,0.450787401574803,0.003,"pos",25,"***",FALSE,TRUE
"PFBS","idw__pre2002__25km","raw","tobit",-0.0771255179700748,0.0104732983144768,1.78460640305948e-13,2032,0.450787401574803,0.003,"pos",25,"***",FALSE,TRUE
"PFBS","idw__pre2002__5km","cov","detect",-0.0301984847896961,0.00695221740020213,1.47829460708578e-05,1894,0.444033790918691,0.003,"pos",5,"***",FALSE,TRUE
"PFBS","idw__pre2002__5km","cov","intensive",-0.0234728404904526,0.018325196685638,0.200615128418943,841,0.444033790918691,0.003,"pos",5,"",FALSE,FALSE
"PFBS","idw__pre2002__5km","cov","tobit",-0.0977788864436193,0.0183743613569236,1.02923657508193e-07,1894,0.444033790918691,0.003,"pos",5,"***",FALSE,TRUE
"PFBS","idw__pre2002__5km","raw","detect",-0.0453491524672733,0.00579174744448937,7.79703553030715e-15,2032,0.450787401574803,0.003,"pos",5,"***",FALSE,TRUE
"PFBS","idw__pre2002__5km","raw","intensive",-0.0443710443841479,0.0146275052935816,0.00248651260872259,916,0.450787401574803,0.003,"pos",5,"***",FALSE,TRUE
"PFBS","idw__pre2002__5km","raw","tobit",-0.130326664286125,0.0158754185881208,2.22412814231242e-16,2032,0.450787401574803,0.003,"pos",5,"***",FALSE,TRUE
"PFBS","idw__tierweighted__10km","cov","detect",-0.0193235448547664,0.00762735745020314,0.0113780623996098,1894,0.444033790918691,0.003,"pos",10,"**",FALSE,TRUE
"PFBS","idw__tierweighted__10km","cov","intensive",-0.0204361843791335,0.0169793086328826,0.229119066793717,841,0.444033790918691,0.003,"pos",10,"",FALSE,FALSE
"PFBS","idw__tierweighted__10km","cov","tobit",-0.0646497201728164,0.0188975600673813,0.000623771645113979,1894,0.444033790918691,0.003,"pos",10,"***",FALSE,TRUE
"PFBS","idw__tierweighted__10km","raw","detect",-0.0317408279481972,0.00640582797607989,7.83232413883261e-07,2032,0.450787401574803,0.003,"pos",10,"***",FALSE,TRUE
"PFBS","idw__tierweighted__10km","raw","intensive",-0.0402925530037814,0.0136137421913555,0.00315891336741607,916,0.450787401574803,0.003,"pos",10,"***",FALSE,TRUE
"PFBS","idw__tierweighted__10km","raw","tobit",-0.093564722593132,0.0163132597357812,9.72243404157922e-09,2032,0.450787401574803,0.003,"pos",10,"***",FALSE,TRUE
