"compound","exposure","spec","margin","bucket","estimate","std.error","p.value","nobs","n_systems","detect_rate","sig"
"PFBA","idw__ind_pre2002__10km","cov","detect","A_anydetect",0.00303862228025078,0.00387453477607407,0.432890648447839,6314,3500,0.432689261957555,""
"PFBA","idw__ind_pre2002__10km","cov","tobit","A_anydetect",0.00587658315766826,0.0077372574587275,0.447542994305835,6314,3500,0.432689261957555,""
"PFHpA","idw__ind_pre2002__10km","raw","detect","A_anydetect",0.00401525835894522,0.00283445903499898,0.15660365601533,6314,3500,0.13588850174216,""
"PFHpA","idw__ind_pre2002__10km","raw","tobit","A_anydetect",0.0126989356194403,0.0107044807307039,0.235496097363404,6314,3500,0.13588850174216,""
"PFHpA","idw__ind_pre2002__10km","cov","detect","A_anydetect",0.000216054026681434,0.00288103928149493,0.940221317617881,6314,3500,0.13588850174216,""
"PFHpA","idw__ind_pre2002__10km","cov","tobit","A_anydetect",-0.00471635527957039,0.0106775996535782,0.658702275934582,6314,3500,0.13588850174216,""
"PFOS","idw__ind_pre2002__25km","raw","detect","A_anydetect",0.00741746001242964,0.00351020623791901,0.0345911562924073,6314,3500,0.360785555907507,"**"
"PFOS","idw__ind_pre2002__25km","raw","tobit","A_anydetect",0.0144491053168909,0.00968847067713467,0.135864087370739,6314,3500,0.360785555907507,""
"PFOS","idw__ind_pre2002__25km","cov","detect","A_anydetect",0.00645476596673533,0.00349718859618595,0.0649355705659068,6314,3500,0.360785555907507,"*"
"PFOS","idw__ind_pre2002__25km","cov","tobit","A_anydetect",0.0117779569309437,0.00916437079242983,0.198725926505948,6314,3500,0.360785555907507,""
"PFOA","idw__ind_pre2002__25km","raw","detect","A_anydetect",0.0310938865202995,0.00337648039075281,3.29287460577345e-20,6314,3500,0.354450427621159,"***"
"PFOA","idw__ind_pre2002__25km","raw","tobit","A_anydetect",0.0626938721389544,0.00824768959108706,2.92975808736042e-14,6314,3500,0.354450427621159,"***"
"PFOA","idw__ind_pre2002__25km","cov","detect","A_anydetect",0.0201493614029849,0.00323913276162515,4.95245457101574e-10,6314,3500,0.354450427621159,"***"
"PFOA","idw__ind_pre2002__25km","cov","tobit","A_anydetect",0.0379409678578009,0.0072965909524237,1.99480394408165e-07,6314,3500,0.354450427621159,"***"
"PFHxS","idw__ind_pre2002__25km","raw","detect","A_anydetect",0.0018228512875322,0.00463302369653904,0.693989040948051,6314,3500,0.276369971491923,""
"PFHxS","idw__ind_pre2002__25km","raw","tobit","A_anydetect",-0.0079341017912169,0.013962537108044,0.569870569625542,6314,3500,0.276369971491923,""
"PFHxS","idw__ind_pre2002__25km","cov","detect","A_anydetect",0.000727608247943406,0.00379693462046946,0.848031697546479,6314,3500,0.276369971491923,""
"PFHxS","idw__ind_pre2002__25km","cov","tobit","A_anydetect",-0.0121591683695096,0.00988830867919737,0.21882783406743,6314,3500,0.276369971491923,""
"PFBS","idw__ind_pre2002__25km","raw","detect","A_anydetect",-0.00114975810513038,0.00379231952979596,0.761752153318701,6314,3500,0.452011403230915,""
"PFBS","idw__ind_pre2002__25km","raw","tobit","A_anydetect",-0.0160770829800362,0.00793560392721802,0.0427706034586712,6314,3500,0.452011403230915,"**"
"PFBS","idw__ind_pre2002__25km","cov","detect","A_anydetect",0.00272343143513628,0.00371667157505319,0.463704301252237,6314,3500,0.452011403230915,""
